BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2016;060000510;060780954;M2050;5;3;5.35;0;1;;
PERINAT_P;2016;060000510;060780954;MIVG;;2;0.3;;;;
PERINAT_P;2016;060000510;060780954;N2700;;;0.2;;;;
PERINAT_P;2016;060000510;060780954;N2800;12;6;15.64;;;;
PERINAT_P;2016;060000544;060780988;M1030;1;1;1.2;1;;0;
PERINAT_P;2016;060000544;060780988;M1140;1;;1;1;;;
PERINAT_P;2016;060000544;060780988;M2050;7;6;8.2;1;;;
PERINAT_P;2016;060000544;060780988;MIVG;;2;0.5;;;;
PERINAT_P;2016;060000544;060780988;N2340;2;2;3.3;;;;
PERINAT_P;2016;060000544;060780988;N2700;;1;0.3;;;;
PERINAT_P;2016;060000544;060780988;N2800;21;9;25.93;;;;
PERINAT_P;2016;060000544;060780988;N280H;12;3;13.7;;;;
PERINAT_P;2016;060000544;060780988;N3120;;2;0.24;;;;
PERINAT_P;2016;060002102;060791761;M1140;;1;0.2;0;0;;
PERINAT_P;2016;060002102;060791761;M2050;;1;1;0;0;;
PERINAT_P;2016;060002102;060791761;N2800;1;1;1;;;;
PERINAT_P;2016;060780517;060000239;M1030;9;;9;0;1;0;1
PERINAT_P;2016;060780517;060000239;M1140;;5;2.5;0;1;;
PERINAT_P;2016;060780517;060000239;M2050;8;2;8.3;0;1;;
PERINAT_P;2016;060780517;060000239;MIVG;;5;2.5;;;;
PERINAT_P;2016;060780517;060000239;N2700;;1;0.2;;;;
PERINAT_P;2016;060780517;060000239;N2800;13;1;15.65;;;;
PERINAT_P;2016;060780517;060000239;N280H;2;;2;;;;
PERINAT_P;2016;060780517;060000239;N3120;;1;0.25;;;;
PERINAT_P;2016;060780590;060000270;M1030;1;;1;0;0;;
PERINAT_P;2016;060780590;060000270;M2050;1;;1;0;0;;
PERINAT_P;2016;060780699;060000346;M1030;;2;0.1;;;;
PERINAT_P;2016;060780699;060000346;M2050;;5;0.1;;;;
PERINAT_P;2016;060780715;060000361;M1030;;8;3.6;1;0;;
PERINAT_P;2016;060780715;060000361;M1140;;32;4.8;1;0;;
PERINAT_P;2016;060780715;060000361;M2050;;15;6;1;0;;
PERINAT_P;2016;060780715;060000361;N2340;2;1;2.6;;;;
PERINAT_P;2016;060780715;060000361;N2700;;1;0.2;;;;
PERINAT_P;2016;060780715;060000361;N2800;18;3;19.1;;;;
PERINAT_P;2016;060780715;060000361;N280H;8;1;8.6;;;;
PERINAT_P;2016;060780715;060000361;N3120;;1;0.2;;;;
PERINAT_P;2016;060780756;060000403;M1030;5;1;6;1;;1;
PERINAT_P;2016;060780756;060000403;M1140;2;4;6;;1;;
PERINAT_P;2016;060780756;060000403;M2050;;18;18;1;;;
PERINAT_P;2016;060781200;060000635;MIVG;;4;0.2;;;;
PERINAT_P;2016;060789195;060785011;M1030;0;5;2.29;1;0;1;0
PERINAT_P;2016;060789195;060785011;M1140;7;10;8.79;1;0;;
PERINAT_P;2016;060789195;060785011;M2050;1;12;4.57;1;0;;
PERINAT_P;2016;060789195;060785011;N2340;37;12;46.69;;;;
PERINAT_P;2016;060789195;060785011;N2700;;3;1.41;;;;
PERINAT_P;2016;060789195;060785011;N2800;54;16;63.81;;;;
PERINAT_P;2016;060789195;060785011;N280H;45;14;51.68;;;;
PERINAT_P;2016;070000013;070002878;M1030;;;;0;1;;0
PERINAT_P;2016;070000013;070002878;M1140;;2;0.4;0;1;;
PERINAT_P;2016;070000013;070002878;M2050;1;2;1.5;0;1;;
PERINAT_P;2016;070000013;070002878;MIVG;;1;0.1;;;;
PERINAT_P;2016;070000013;070002878;N2800;8;1;7.06;;;;
PERINAT_P;2016;070000013;070002878;N280H;2;1;1.84;;;;
PERINAT_P;2016;070000096;070780184;M1030;1;;1;0;0;;
PERINAT_P;2016;070000096;070780184;N2800;;3;1.5;;;;
PERINAT_P;2016;070000096;070780184;N3120;;1;0.1;;;;
PERINAT_P;2016;070000179;070780358;M1140;3;1;1.9;0;0;;
PERINAT_P;2016;070000179;070780358;M2050;3;1;3.67;0;1;;
PERINAT_P;2016;070000179;070780358;N2340;1;4;3.37;;;;
PERINAT_P;2016;070000179;070780358;N2700;1;0;0.1;;;;
PERINAT_P;2016;070000179;070780358;N2800;10;8;15.97;;;;
PERINAT_P;2016;070000179;070780358;N280H;10;8;15.97;;;;
PERINAT_P;2016;070000195;070780374;M2050;;1;0.2;0;0;;
PERINAT_P;2016;070000195;070780374;N2800;4;;4.18;;;;
PERINAT_P;2016;070000195;070780374;N3120;;1;0.1;;;;
PERINAT_P;2016;070000609;070005566;M2050;4;1;5.22;;;;
PERINAT_P;2016;070000609;070005566;N2700;0;1;0.65;;;;
PERINAT_P;2016;070000609;070005566;N2800;12;4;14.09;;;;
PERINAT_P;2016;070000609;070005566;N280H;12;4;14.09;;;;
PERINAT_P;2016;070000609;070005566;N3120;1;1;0.02;;;;
PERINAT_P;2016;070780424;070000245;M1030;10;3;11.5;1;1;1;1
PERINAT_P;2016;070780424;070000245;M1140;3;;3;;1;;
PERINAT_P;2016;070780424;070000245;M2050;6;;6;1;;;
PERINAT_P;2016;070780424;070000245;N2700;;1;0.5;;;;
PERINAT_P;2016;070780424;070000245;N2800;9;11;16.51;;;;
PERINAT_P;2016;070780424;070000245;N280H;7;9;10.89;;;;
PERINAT_P;2016;070780424;070000245;N3120;;1;0.2;;;;
PERINAT_P;2016;080000110;080000037;M1030;2;0;2;1;;;
PERINAT_P;2016;080000110;080000037;M1140;3;0;3;0;1;;
PERINAT_P;2016;080000110;080000037;M2050;4;0;4;0;1;;
PERINAT_P;2016;080000110;080000037;N2700;;1;0.2;;;;
PERINAT_P;2016;080000110;080000037;N2800;10;7;16;;;;
PERINAT_P;2016;080000219;080001969;M2050;;8;0.86;;;;
PERINAT_P;2016;080000219;080001969;MIVG;1;;0.08;;;;
PERINAT_P;2016;080000219;080001969;N2800;1;2;2;;;;
PERINAT_P;2016;080000276;080001969;N2800;;1;0.2;;;;
PERINAT_P;2016;080000425;080000615;M1030;8;;4.64;1;1;1;0
PERINAT_P;2016;080000425;080000615;M1140;5;;1;1;0;;
PERINAT_P;2016;080000425;080000615;M2050;2;1;0.88;1;0;;
PERINAT_P;2016;080000425;080000615;MIVG;;1;0.33;;;;
PERINAT_P;2016;080000425;080000615;N2340;4;8;11.67;;;;
PERINAT_P;2016;080000425;080000615;N2800;20;8;25.58;;;;
PERINAT_P;2016;080000425;080000615;N280H;12;3;12.97;;;;
PERINAT_P;2016;090000175;090781774;M1030;;8;0.75;1;0;0;0
PERINAT_P;2016;090000175;090781774;M1140;;3;0.31;0;1;;
PERINAT_P;2016;090000175;090781774;M2050;3;4;5.97;0;1;;
PERINAT_P;2016;090000175;090781774;N2340;;13;4.18;;;;
PERINAT_P;2016;090000175;090781774;N2800;14;17;17.13;;;;
PERINAT_P;2016;090000183;090781816;M1030;1;;0.11;;;;
PERINAT_P;2016;090000183;090781816;M2050;2;1;1.98;0;1;;
PERINAT_P;2016;090000183;090781816;N2800;4;5;7.93;;;;
PERINAT_P;2016;090000183;090781816;N280H;3;5;7.13;;;;
PERINAT_P;2016;090001629;090780107;M1140;;1;0.16;0;0;;
PERINAT_P;2016;090001629;090780107;M2050;;1;0.02;0;0;;
PERINAT_P;2016;090001629;090780107;N2800;;2;0.41;;;;
PERINAT_P;2016;090001629;090780107;N3120;;1;0.1;;;;
PERINAT_P;2016;100000090;100000017;M1030;1;;1;1;0;1;
PERINAT_P;2016;100000090;100000017;M1140;7;;6.73;0;1;;
PERINAT_P;2016;100000090;100000017;M2050;8;3;6.57;0;1;;
PERINAT_P;2016;100000090;100000017;MIVG;;1;0.13;;;;
PERINAT_P;2016;100000090;100000017;N2340;13;10;20.29;;;;
PERINAT_P;2016;100000090;100000017;N2700;1;1;1.6;;;;
PERINAT_P;2016;100000090;100000017;N2800;30;18;42.98;;;;
PERINAT_P;2016;100000090;100000017;N280H;1;40;14.52;;;;
PERINAT_P;2016;100000090;100000017;N3120;;1;0.15;;;;
