BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCUNDC;ACCMU;ACCMUDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2017;250006954;250000015;TYPE3;;56;22;11;10;7;3992;668;839;35;161;7;235;27;15802;6772;3513;2745;2770;13597;406;3205;59;2686;29;84;2;1;0;2854;6246;8745;406;49;199;1;471;527;245;68;9;19;1;388
PERINAT;2017;250011848;250017803;TYPE2;;24;6;;;5;1759;201;310;11;0;0;0;0;6554;1389;0;0;1383;6124;276;1614;0;1370;2;13;0;9;;1407;;;;11;0;0;0;0;0;0;;6;1;226
PERINAT;2017;260000013;260000021;TYPE2;;42;12;6;0;5;3285;156;596;11;178;26;0;0;13472;4282;1348;0;2542;11753;573;3866;3;2488;14;54;2;44;0;2604;13506;6098;108;102;250;1;476;488;354;44;4;9;0;0
PERINAT;2017;260000120;260016910;TYPE2;;25;6;;;3;1411;119;139;3;0;0;0;0;4956;1253;0;0;1081;4387;188;1022;2;1067;3;14;0;4;;1106;5216;7365;78;68;0;1;220;254;54;16;9;4;0;0
PERINAT;2017;260000138;260000047;TYPE2;;32;6;0;0;6;2326;233;207;26;0;0;0;0;8896;1392;0;0;1733;8038;288;1929;3;1711;9;22;1;7;0;1757;11253;11803;176;49;0;1;295;344;105;12;2;19;0;0
PERINAT;2017;260000146;260000054;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;965;1134;13;0;0;1;74;63;35;0;0;0;0;0
PERINAT;2017;260000286;260000104;TYPE1;;7;0;0;0;1;132;13;0;0;0;0;0;0;477;0;0;0;97;425;20;126;0;97;0;0;0;2;;100;1832;;;6;0;1;24;46;14;0;;0;0;0
PERINAT;2017;270000045;270000060;TYPE1;;14;;;;2;642;82;0;0;0;0;0;0;2100;0;0;0;403;1856;88;460;0;400;0;3;0;4;4;406;1601;3616;360;7;0;1;130;167;89;7;;0;0;0
PERINAT;2017;270000359;270023724;TYPE2;;34;;10;;5;3041;712;0;0;350;26;0;0;9952;0;2429;0;1998;9174;370;2237;6;1966;18;32;1;4;7;2041;11211;13221;15;23;0;1;657;586;609;26;;17;0;0
PERINAT;2017;270000367;270000086;TYPE1;;11;;;;2;640;48;0;0;0;0;0;0;2285;0;0;0;499;2084;96;497;1;498;5;1;0;7;;501;6687;4908;0;16;0;1;98;148;67;2;1;0;0;0
PERINAT;2017;270000391;760024042;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;483;2631;362;;;0;0;0;0;0;;0;0;
PERINAT;2017;270000425;270000102;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1755;2360;50;0;0;0;0;0;0;0;;0;0;0
PERINAT;2017;270000441;270000110;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;748;1330;;;;0;;0;;;;;0;
PERINAT;2017;270000458;270023724;TYPE1;;14;;;;4;1073;220;0;0;0;0;0;0;3365;0;0;0;725;3102;140;779;0;720;3;5;0;12;;731;8383;4837;24;7;0;1;265;306;233;8;;3;0;0
PERINAT;2017;280000084;280000183;TYPE2;;26;8;;;4;2469;547;311;11;0;0;0;0;8129;2107;0;0;1395;6747;331;2062;2;1382;6;13;1;9;0;1408;10544;9490;179;19;0;1;314;292;270;14;;41;1;250
PERINAT;2017;280000662;280500075;TYPE1;;15;;;;2;483;41;0;0;0;0;0;0;1581;0;0;0;364;1410;63;335;0;362;0;2;0;4;;366;912;2949;;11;1;1;101;78;91;0;;1;0;0
PERINAT;2017;280502998;280000589;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;0;0;0;0;;0;0;0
PERINAT;2017;280504267;280000134;TYPE2;;45;12;6;;5;3385;400;571;24;226;21;0;0;12999;3185;1318;0;2537;11686;417;2925;1;2494;19;43;0;6;;2580;12961;4630;291;71;0;1;316;324;205;50;5;30;0;0
PERINAT;2017;280505777;280001199;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;32;34;19;2;;2;0;0
PERINAT;2017;290000025;290020700;TYPE2;INT;42;12;3;;7;3221;408;401;8;140;11;0;0;11346;3220;1049;0;2410;10380;407;2391;5;2372;22;38;1;4;;2461;10572;9254;56;72;0;1;556;567;286;27;6;14;0;0
PERINAT;2017;290000033;290021542;TYPE2;;23;4;;;5;758;52;138;26;0;0;0;0;3316;779;0;0;555;2914;105;654;3;550;2;5;0;4;0;557;4429;6427;239;6;0;1;192;162;171;6;;4;0;0
PERINAT;2017;290000058;290000017;TYPE3;EXT;55;18;6;6;8;2913;243;605;19;203;15;198;7;13964;4926;2156;2225;2110;11665;463;3648;27;2021;22;89;6;0;;2218;25388;11199;96;63;0;1;446;505;273;36;0;14;1;434
PERINAT;2017;290000066;290020700;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;938;1446;53;;;0;;;;;;;0;
PERINAT;2017;290000140;290000447;;;0;;;;;23;22;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;33;52;23;0;;1;1;341
PERINAT;2017;290000173;290000041;TYPE1;;17;;;;2;761;86;0;0;0;0;0;0;2697;0;0;0;568;2485;100;539;0;568;3;0;0;2;;568;3300;3967;277;11;0;1;94;82;71;1;0;3;0;0
