BOR;AN;FI;FI_EJ;AUTOR;LACTA;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMUDC;ACCMU;ACCUNDC;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2016;190000018;190000042;TYPE2;;24;6;;;5;1136;112;132;12;0;0;0;0;4710;1160;0;0;825;4290;183;1248;1;803;0;22;5;3;0;848;7720;9542;88;3;0;1;432;451;300;11;;1;0;0
PERINAT;2016;190000026;190000059;TYPE2;;15;4;;;4;823;59;99;8;0;0;0;0;2923;564;0;0;594;2554;126;614;3;587;0;7;1;7;;602;1524;1029;;19;0;1;142;116;74;6;;1;0;0
PERINAT;2016;190000091;190000075;TYPE1;;6;;;;2;310;26;0;0;0;0;0;0;1187;0;0;0;193;973;36;235;0;192;0;1;0;1;0;195;3604;2206;90;3;0;1;64;77;37;7;0;1;0;0
PERINAT;2016;190000257;190001131;TYPE1;;18;;;;4;967;122;0;0;0;0;0;0;3800;0;0;0;655;3167;193;1151;0;648;0;7;2;3;;662;;;;2;0;1;46;53;9;1;;26;0;0
PERINAT;2016;210780110;210000022;TYPE2;;27;12;4;;;2004;126;251;6;56;1;0;0;7691;1984;174;0;1660;6995;327;1912;3;1633;0;27;1;6;;1687;;;;20;0;0;0;0;0;0;;0;0;0
PERINAT;2016;210987558;210780581;TYPE3;EXT;70;16;15;16;8;4890;709;744;51;297;2;321;6;20340;4880;5829;4241;3072;15777;525;4273;2;2979;7;93;68;1;;3179;15515;14988;;152;0;1;755;890;90;96;0;111;1;722
PERINAT;2016;210987657;210012175;TYPE1;;24;0;0;0;2;927;120;0;0;0;0;0;0;3473;0;0;0;695;3226;107;667;0;684;0;11;4;5;0;706;5798;1123;143;8;0;1;132;148;63;6;0;7;0;0
PERINAT;2016;210987665;210012142;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;18;18;18;0;;0;0;0
PERINAT;2016;210987699;210780706;TYPE1;;15;;;;2;676;65;0;0;0;0;0;0;2424;0;0;0;433;2034;70;401;0;433;0;0;2;3;0;435;698;3586;10;4;0;1;69;49;28;1;0;0;0;0
PERINAT;2016;220000012;220000020;TYPE3;EXT;42;13;6;6;5;3506;1005;473;31;192;6;139;4;10675;4028;1206;1312;2032;9052;474;2983;23;1967;7;65;19;1;1;2109;14724;11414;2283;115;0;1;547;498;383;31;;41;0;0
PERINAT;2016;220000095;220000046;TYPE2;;13;4;;;3;953;104;285;14;0;0;0;0;3533;1432;0;0;715;3266;126;832;0;709;0;6;1;4;;722;6717;1804;233;25;0;1;170;202;110;5;;8;0;0
PERINAT;2016;220000343;220000079;TYPE1;;17;;;;2;700;90;0;0;0;0;0;0;2356;0;0;0;512;2145;97;524;0;509;1;3;1;14;14;516;7706;5616;133;10;0;1;151;174;100;9;;8;0;0
PERINAT;2016;220000368;220000103;TYPE1;;16;;;;2;889;85;0;0;0;0;0;0;3431;0;0;0;628;2975;116;766;0;623;1;5;5;6;;634;;5043;7613;26;2;1;197;207;152;6;0;9;0;0
PERINAT;2016;220000483;560014748;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1869;84;;;0;;;;;;;0;
PERINAT;2016;220000541;220000152;CPPR;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;417;1621;99;0;0;1;29;18;29;0;;0;0;0
PERINAT;2016;220022800;220000673;TYPE2;;24;6;;;4;1158;55;144;4;0;0;0;0;4869;1016;0;0;944;4281;179;974;0;931;1;13;1;12;;957;;;;16;0;1;91;;67;2;;2;0;0
PERINAT;2016;230000820;230780041;TYPE2;;20;4;;;2;905;71;233;10;0;0;0;0;3567;1065;0;0;548;2948;97;726;0;543;0;5;0;4;;550;3572;2559;2148;6;0;1;159;163;91;6;;0;0;0
PERINAT;2016;240000190;240000596;TYPE1;;;;;;;22;18;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;31;43;28;0;;2;1;137
PERINAT;2016;240000372;240000059;TYPE1;;51;;;;3;1154;146;0;0;0;0;0;0;3785;0;0;0;796;3372;160;845;0;788;1;8;5;5;0;807;2775;3439;29;23;0;1;330;382;226;4;0;0;0;0
